id,title,flag,duration,block,author_main,gender
0ZrFjmFjPj8,Sunce moje,optional,3:32,turbofolk,Sinan Sakic,m
0FEq52oQsNo,Srpkinja je mene majka rodila,mandatory,4:04,turbofolk,Indira Radić,f
ZT7ruP-Tzqk,Lepa do bola,backlog,3:56,turbofolk,Sinan Sakic,m
HS7eJEUYtyU,Kad zamirišu jorgovani,mandatory,3:36,posle_torte,Vesna Zmijanac & Dino Merlin,duo
sTcHTM1njeU,Zlatiborske zore,backlog,3:03,veselje,Ana Bekuta,f
-gl45fwodMY,Mi se volimo,optional,3:06,veselje,Semsa Suljakovic I Juzni Vetar,duo
m06f866RucU,Čaršija,backlog,4:06,pijani_kraj,Al Dino,m
gefp9ta8LTA,Makedonsko devojče (instrumental),mandatory,3:29,pre_ulaska,Camie Florien,inst
17L7R6uoAMw,Ajde jano (instrumental),optional,3:24,pre_ulaska,Marko Ristic,inst
sApt87Ox1pQ,Moj dilbere (instrumental),backlog,1:46,pre_ulaska,Radojka Živković,inst
ATPjDH3js6k,Cudna jada (instrumental),backlog,2:59,pre_ulaska,Marko Ristic,inst
Y_xUHRG2tsU,Jesu l' dunje procvale (inst),optional,2:03,pre_ulaska,Marko Ristic,inst
kz3MZen37rE,Zvjezda tera meseca (instrumental),optional,2:28,pre_ulaska,Ljubisa Pavkovic,inst
AXunlAFNEzU,Odlaziš odlaziš (instrumental),optional,3:28,pre_ulaska,Senad Hodzic,inst
b2_hKiDoXXY,Svilen konac (Instrumental),mandatory,3:32,pre_ulaska,Aleksandar Šišić,inst
8dLGIb0HHFA,Instrumentalna muzika,optional,15:00,pauza_muzike,nn,mp3
